"Номер";"Наименование водного объекта";"Азот нитритный";"Азот аммонийный";"Азот нитратный";"Фенол";"Нефтепродукты";"Органические вещества (по ХПК)";"Железо";"Медь";"Цинк";"Марганец";"БПК5";"Период наблюдений";"Дата модификации"
"1";"р. Тура, в створе с. Салаирка, ПДК";"1,5";"1,6";"в пределах нормы";"6,0";"в пределах нормы";"-";" ";" ";" ";"48,85";" ";"20.01.2015";"16.12.2020 12:00:44"
"2";"р. Тура, выше г. Тюмени, ПДК";"в пределах нормы";"1,5";"в пределах нормы";"4,0";"в пределах нормы";"-";" ";" ";" ";"52,35";" ";"20.01.2015";"16.12.2020 12:00:11"
"3";"р. Тура, ниже г. Тюмени, ПДК";"в пределах нормы";"2,1";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";"51,74";" ";"20.01.2015";"16.12.2020 12:00:29"
"4";"р. Ишим, в створе с. Ильинское, ПДК";"1,7";"в пределах нормы";"в пределах нормы";"2,0";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.01.2015";"27.02.2015 15:16:29"
"5";"р. Ишим, выше г. Ишима, ПДК";"2,0";"в пределах нормы";"в пределах нормы";"2,0";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.01.2015";"27.02.2015 15:20:08"
"6";"р. Ишим, ниже г. Ишима, ПДК";"1,3";"в пределах нормы";"в пределах нормы";"2,0";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.01.2015";"27.02.2015 15:21:22"
"7";"р. Тобол, в створе с. Коркино, ПДК";"5,4";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.01.2015";"27.02.2015 15:22:40"
"8";"р. Тобол, выше г. Ялуторовска, ПДК";"2,8";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.01.2015";"27.02.2015 15:23:31"
"9";"р. Тобол, ниже г. Ялуторовска, ПДК";"4,6";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.01.2015";"27.02.2015 15:24:52"
"10";"р. Тура, в створе с. Салаирка, ПДК";"2.0";"1.6";"в пределах нормы";"2.0";"в пределах нормы";"-";" ";" ";" ";"45,89";" ";"20.02.2015";"16.12.2020 12:01:04"
"11";"р. Тура, выше г. Тюмени, ПДК";"в пределах нормы";"1,6";"в пределах нормы";"3,0";"в пределах нормы";"-";" ";" ";" ";"46,94";" ";"20.02.2015";"16.12.2020 12:01:22"
"12";"р. Тура, ниже г. Тюмени, ПДК";"в пределах нормы";"1,6";"в пределах нормы";"3,0";"в пределах нормы";"-";" ";" ";" ";"51,42";" ";"20.02.2015";"16.12.2020 12:01:42"
"13";"р. Ишим, в створе с. Ильинское, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.02.2015";"19.03.2015 11:41:18"
"14";"р. Ишим, выше г. Ишима, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.02.2015";"19.03.2015 11:43:11"
"15";"р. Ишим, ниже г. Ишима, ПДК";"2,5";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.02.2015";"19.03.2015 11:44:18"
"16";"р. Тобол, в створе с. Коркино, ПДК";"1,9";"1,5";"в пределах нормы";"3,0";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.02.2015";"19.03.2015 11:45:41"
"17";"р. Тобол, выше г. Ялуторовска, ПДК";"2,5";"1,5";"в пределах нормы";"2,0";"1,6";"-";" ";" ";" ";" ";" ";"20.02.2015";"19.03.2015 11:46:43"
"18";"р. Тобол, ниже г. Ялуторовска, ПДК";"2,1";"1,5";"в пределах нормы";"2,0";"1,6";"-";" ";" ";" ";" ";" ";"20.02.2015";"19.03.2015 11:47:40"
"19";"р. Тура, в створе с. Салаирка, ПДК";"8,5";"в пределах нормы";"в пределах нормы";"в пределах нормы";"1,4";"-";" ";" ";" ";"54,99";" ";"20.03.2015";"16.12.2020 12:03:27"
"20";"р. Тура, выше г. Тюмени, ПДК";"в пределах нормы";"1,6";"в пределах нормы";"3,0";"в пределах нормы";"-";" ";" ";" ";"37,72";" ";"20.03.2015";"16.12.2020 12:03:48"
"21";"р. Тура, ниже г. Тюмени, ПДК";"5,2";"1,5";"в пределах нормы";"2,0";"в пределах нормы";"-";" ";" ";" ";"48,13";" ";"20.03.2015";"16.12.2020 12:04:13"
"22";"р. Ишим, в створе с. Ильинское, ПДК";"2,7";"в пределах нормы";"в пределах нормы";"3,0";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.03.2015";"13.04.2015 10:15:18"
"23";"р. Ишим, выше г. Ишима, ПДК";"2,7";"в пределах нормы";"в пределах нормы";"3,0";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.03.2015";"13.04.2015 10:16:12"
"24";"р. Ишим, ниже г. Ишима, ПДК";"3,5";"1,3";"в пределах нормы";"2,0";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.03.2015";"13.04.2015 10:17:20"
"25";"р. Тобол, в створе с. Коркино, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.03.2015";"13.04.2015 10:19:11"
"26";"р. Тобол, выше г. Ялуторовска, ПДК";"8,9";"в пределах нормы";"в пределах нормы";"3,0";"1,2";"-";" ";" ";" ";"35,74";" ";"20.03.2015";"16.12.2020 12:05:01"
"27";"р. Тобол, ниже г. Ялуторовска, ПДК";"3,2";"в пределах нормы";"в пределах нормы";"2,0";"2,0";"-";" ";" ";" ";"33,84";" ";"20.03.2015";"16.12.2020 12:05:30"
"28";"р. Тура, в створе с. Салаирка, ПДК";"в пределах нормы";"1,2";"в пределах нормы";"2,0";"1,2";"-";" ";" ";" ";"59,08";" ";"20.04.2015";"16.12.2020 12:06:01"
"29";"р. Тура, выше г. Тюмени, ПДК";"5,9";"1,1";"в пределах нормы";"2,0";"в пределах нормы";"-";" ";" ";" ";"46,5";" ";"20.04.2015";"16.12.2020 12:08:14"
"30";"р. Тура, ниже г. Тюмени, ПДК";"7,1";"1,7";"в пределах нормы";"2,0";"в пределах нормы";"-";" ";" ";" ";"46,73";" ";"20.04.2015";"16.12.2020 12:17:15"
"31";"р. Ишим, в створе с. Ильинское, ПДК";"1,3";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.04.2015";"15.05.2015 10:13:20"
"32";"р. Ишим, выше г. Ишима, ПДК";"1,1";"в пределах нормы";"в пределах нормы";"в пределах нормы";"1,2";"-";" ";" ";" ";" ";" ";"20.04.2015";"15.05.2015 10:14:40"
"33";"р. Ишим, ниже г. Ишима, ПДК";"4,5";"1,3";"в пределах нормы";"в пределах нормы";"1,2";"-";" ";" ";" ";" ";" ";"20.04.2015";"15.05.2015 10:15:48"
"34";"р. Тобол, в створе с. Коркино, ПДК";"1,4";"1,12";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";"44,78";" ";"20.04.2015";"16.12.2020 12:17:56"
"35";"р. Тобол, выше г. Ялуторовска, ПДК";"6,9";"в пределах нормы";"в пределах нормы";"в пределах нормы";"1,4";"-";" ";" ";" ";" ";" ";"20.04.2015";"15.05.2015 10:18:21"
"36";"р. Тобол, ниже г. Ялуторовска, ПДК";"4,7";"в пределах нормы";"в пределах нормы";"2,0";"1,4";"-";" ";" ";" ";" ";" ";"20.04.2015";"15.05.2015 10:19:29"
"37";"р. Тура, в створе с. Салаирка, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"3,0";"1,2";"-";" ";" ";" ";" ";" ";"20.05.2015";"15.06.2015 10:46:59"
"38";"р. Тура, выше г. Тюмени, ПДК";"в пределах нормы";"1,6";"в пределах нормы";"2,0";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.05.2015";"15.06.2015 10:48:24"
"39";"р. Тура, ниже г. Тюмени, ПДК";"в пределах нормы";"2,0";"в пределах нормы";"3,0";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.05.2015";"15.06.2015 10:49:26"
"40";"р. Тура, в створе с. Покровское, ПДК";"в пределах нормы";"1,6";"в пределах нормы";"в пределах нормы";"2,6";"-";" ";" ";" ";" ";" ";"20.05.2015";"15.06.2015 10:51:13"
"41";"р. Ишим, в створе с. Ильинское, ПДК";"2,0";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.05.2015";"15.06.2015 10:52:06"
"42";"р. Ишим, выше г. Ишима, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.05.2015";"15.06.2015 10:52:43"
"43";"р. Ишим, ниже г. Ишима, ПДК";"1,2";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.05.2015";"15.06.2015 10:53:32"
"44";"р. Ишим, в створе с. Абатское, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"2,0";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.05.2015";"15.06.2015 10:54:46"
"45";"р. Тобол, в створе с. Коркино, ПДК";"в пределах нормы";"1,5";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.05.2015";"15.06.2015 10:55:38"
"46";"р. Тобол, выше г. Ялуторовска, ПДК";"2,6";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.05.2015";"15.06.2015 10:57:04"
"47";"р. Тобол, ниже г. Ялуторовска, ПДК";"2,6";"в пределах нормы";"в пределах нормы";"в пределах нормы";"1,6";"-";" ";" ";" ";" ";" ";"20.05.2015";"15.06.2015 10:58:13"
"48";"р. Тобол, в створе с. Иевлево, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"21,4";"-";" ";" ";" ";" ";" ";"20.05.2015";"15.06.2015 10:59:18"
"49";"р. Тура, в створе с. Салаирка, ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"3,0";"1,2";"-";" ";" ";" ";" ";" ";"20.06.2015";"14.07.2015 09:06:08"
