,Номер,Наименование водного объекта,Азот нитритный,Азот аммонийный,Азот нитратный,Фенол,Нефтепродукты,Органические вещества (по ХПК),Железо,Медь,Цинк,Марганец,БПК5,Период наблюдений,Дата модификации
0,1,"р. Тура, в створе с. Салаирка",0,0,0,0,0,0,0,0,0,0,0,2015-01-20 00:00:00,2015-02-27 15:16:55
1,2,"р. Тура, выше г. Тюмени",0,0,0,0,0,0,0,0,0,0,0,2015-01-20 00:00:00,2015-02-27 15:15:08
2,3,"р. Тура, ниже г. Тюмени",0,0,0,0,0,0,0,0,0,0,0,2015-01-20 00:00:00,2015-02-27 15:14:32
3,4,"р. Ишим, в створе с. Ильинское",0,0,0,0,0,0,0,0,0,0,0,2015-01-20 00:00:00,2015-02-27 15:16:29
4,5,"р. Ишим, выше г. Ишима",0,0,0,0,0,0,0,0,0,0,0,2015-01-20 00:00:00,2015-02-27 15:20:08
5,6,"р. Ишим, ниже г. Ишима",0,0,0,0,0,0,0,0,0,0,0,2015-01-20 00:00:00,2015-02-27 15:21:22
6,7,"р. Тобол, в створе с. Коркино",0,0,0,0,0,0,0,0,0,0,0,2015-01-20 00:00:00,2015-02-27 15:22:40
7,8,"р. Тобол, выше г. Ялуторовска",0,0,0,0,0,0,0,0,0,0,0,2015-01-20 00:00:00,2015-02-27 15:23:31
8,9,"р. Тобол, ниже г. Ялуторовска",0,0,0,0,0,0,0,0,0,0,0,2015-01-20 00:00:00,2015-02-27 15:24:52
9,10,"р. Тура, в створе с. Салаирка",0,0,0,0,0,0,0,0,0,0,0,2015-02-20 00:00:00,2015-03-19 11:37:54
10,11,"р. Тура, выше г. Тюмени",0,0,0,0,0,0,0,0,0,0,0,2015-02-20 00:00:00,2015-03-19 11:39:21
11,12,"р. Тура, ниже г. Тюмени",0,0,0,0,0,0,0,0,0,0,0,2015-02-20 00:00:00,2015-03-19 11:40:20
12,13,"р. Ишим, в створе с. Ильинское",0,0,0,0,0,0,0,0,0,0,0,2015-02-20 00:00:00,2015-03-19 11:41:18
13,14,"р. Ишим, выше г. Ишима",0,0,0,0,0,0,0,0,0,0,0,2015-02-20 00:00:00,2015-03-19 11:43:11
14,15,"р. Ишим, ниже г. Ишима",0,0,0,0,0,0,0,0,0,0,0,2015-02-20 00:00:00,2015-03-19 11:44:18
15,16,"р. Тобол, в створе с. Коркино",0,0,0,0,0,0,0,0,0,0,0,2015-02-20 00:00:00,2015-03-19 11:45:41
16,17,"р. Тобол, выше г. Ялуторовска",0,0,0,0,0,0,0,0,0,0,0,2015-02-20 00:00:00,2015-03-19 11:46:43
17,18,"р. Тобол, ниже г. Ялуторовска",0,0,0,0,0,0,0,0,0,0,0,2015-02-20 00:00:00,2015-03-19 11:47:40
18,19,"р. Тура, в створе с. Салаирка",0,0,0,0,0,0,0,0,0,0,0,2015-03-20 00:00:00,2015-04-13 10:11:14
19,20,"р. Тура, выше г. Тюмени",0,0,0,0,0,0,0,0,0,0,0,2015-03-20 00:00:00,2015-04-13 10:12:38
20,21,"р. Тура, ниже г. Тюмени",0,0,0,0,0,0,0,0,0,0,0,2015-03-20 00:00:00,2015-04-13 10:14:19
21,22,"р. Ишим, в створе с. Ильинское",0,0,0,0,0,0,0,0,0,0,0,2015-03-20 00:00:00,2015-04-13 10:15:18
22,23,"р. Ишим, выше г. Ишима",0,0,0,0,0,0,0,0,0,0,0,2015-03-20 00:00:00,2015-04-13 10:16:12
23,24,"р. Ишим, ниже г. Ишима",0,0,0,0,0,0,0,0,0,0,0,2015-03-20 00:00:00,2015-04-13 10:17:20
24,25,"р. Тобол, в створе с. Коркино",0,0,0,0,0,0,0,0,0,0,0,2015-03-20 00:00:00,2015-04-13 10:19:11
25,26,"р. Тобол, выше г. Ялуторовска",0,0,0,0,0,0,0,0,0,0,0,2015-03-20 00:00:00,2015-04-13 10:23:27
26,27,"р. Тобол, ниже г. Ялуторовска",0,0,0,0,0,0,0,0,0,0,0,2015-03-20 00:00:00,2015-04-13 10:26:11
27,28,"р. Тура, в створе с. Салаирка",0,0,0,0,0,0,0,0,0,0,0,2015-04-20 00:00:00,2015-05-15 10:10:15
28,29,"р. Тура, выше г. Тюмени",0,0,0,0,0,0,0,0,0,0,0,2015-04-20 00:00:00,2015-05-15 10:11:19
29,30,"р. Тура, ниже г. Тюмени",0,0,0,0,0,0,0,0,0,0,0,2015-04-20 00:00:00,2015-05-15 10:12:16
30,31,"р. Ишим, в створе с. Ильинское",0,0,0,0,0,0,0,0,0,0,0,2015-04-20 00:00:00,2015-05-15 10:13:20
31,32,"р. Ишим, выше г. Ишима",0,0,0,0,0,0,0,0,0,0,0,2015-04-20 00:00:00,2015-05-15 10:14:40
32,33,"р. Ишим, ниже г. Ишима",0,0,0,0,0,0,0,0,0,0,0,2015-04-20 00:00:00,2015-05-15 10:15:48
33,34,"р. Тобол, в створе с. Коркино",0,0,0,0,0,0,0,0,0,0,0,2015-04-20 00:00:00,2015-05-15 10:17:30
34,35,"р. Тобол, выше г. Ялуторовска",0,0,0,0,0,0,0,0,0,0,0,2015-04-20 00:00:00,2015-05-15 10:18:21
35,36,"р. Тобол, ниже г. Ялуторовска",0,0,0,0,0,0,0,0,0,0,0,2015-04-20 00:00:00,2015-05-15 10:19:29
36,37,"р. Тура, в створе с. Салаирка",0,0,0,0,0,0,0,0,0,0,0,2015-05-20 00:00:00,2015-06-15 10:46:59
37,38,"р. Тура, выше г. Тюмени",0,0,0,0,0,0,0,0,0,0,0,2015-05-20 00:00:00,2015-06-15 10:48:24
38,39,"р. Тура, ниже г. Тюмени",0,0,0,0,0,0,0,0,0,0,0,2015-05-20 00:00:00,2015-06-15 10:49:26
39,40,"р. Тура, в створе с. Покровское",0,0,0,0,0,0,0,0,0,0,0,2015-05-20 00:00:00,2015-06-15 10:51:13
40,41,"р. Ишим, в створе с. Ильинское",0,0,0,0,0,0,0,0,0,0,0,2015-05-20 00:00:00,2015-06-15 10:52:06
41,42,"р. Ишим, выше г. Ишима",0,0,0,0,0,0,0,0,0,0,0,2015-05-20 00:00:00,2015-06-15 10:52:43
42,43,"р. Ишим, ниже г. Ишима",0,0,0,0,0,0,0,0,0,0,0,2015-05-20 00:00:00,2015-06-15 10:53:32
43,44,"р. Ишим, в створе с. Абатское",0,0,0,0,0,0,0,0,0,0,0,2015-05-20 00:00:00,2015-06-15 10:54:46
44,45,"р. Тобол, в створе с. Коркино",0,0,0,0,0,0,0,0,0,0,0,2015-05-20 00:00:00,2015-06-15 10:55:38
45,46,"р. Тобол, выше г. Ялуторовска",0,0,0,0,0,0,0,0,0,0,0,2015-05-20 00:00:00,2015-06-15 10:57:04
46,47,"р. Тобол, ниже г. Ялуторовска",0,0,0,0,0,0,0,0,0,0,0,2015-05-20 00:00:00,2015-06-15 10:58:13
47,48,"р. Тобол, в створе с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,2015-05-20 00:00:00,2015-06-15 10:59:18
48,49,"р. Тура, в створе с. Салаирка",0,0,0,0,0,0,0,0,0,0,0,2015-06-20 00:00:00,2015-07-14 09:06:08
49,50,"р. Тура, выше г. Тюмени",0,0,0,0,0,0,0,0,0,0,0,2015-06-20 00:00:00,2015-07-14 09:07:35
50,51,"р. Тура, ниже г. Тюмени",0,0,0,0,0,0,0,0,0,0,0,2015-06-20 00:00:00,2015-07-14 09:11:05
51,52,"р. Тура, в створе с. Покровское",0,0,0,0,0,0,0,0,0,0,0,2015-06-20 00:00:00,2015-07-14 09:10:43
52,53,"р. Ишим, в створе с. Ильинское",0,0,0,0,0,0,0,0,0,0,0,2015-06-20 00:00:00,2015-07-14 09:29:20
53,54,"р. Ишим, выше г. Ишима",0,0,0,0,0,0,0,0,0,0,0,2015-06-20 00:00:00,2015-07-14 09:31:49
54,55,"р. Ишим, ниже г. Ишима",0,0,0,0,0,0,0,0,0,0,0,2015-06-20 00:00:00,2015-07-14 09:32:53
55,56,"р. Ишим, в створе с. Абатское",0,0,0,0,0,0,0,0,0,0,0,2015-06-20 00:00:00,2015-07-14 09:38:00
56,57,"р. Тобол, в створе с. Коркино",0,0,0,0,0,0,0,0,0,0,0,2015-06-20 00:00:00,2015-07-14 09:38:57
57,58,"р. Тобол, выше г. Ялуторовска",0,0,0,0,0,0,0,0,0,0,0,2015-06-20 00:00:00,2015-07-14 09:39:50
58,59,"р. Тобол, ниже г. Ялуторовска",0,0,0,0,0,0,0,0,0,0,0,2015-06-20 00:00:00,2015-07-14 10:50:53
59,60,"р. Тобол, в створе с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,2015-06-20 00:00:00,2015-07-14 10:51:54
60,61,"р. Тура, в створе с. Салаирка",0,0,0,0,0,0,0,0,0,0,0,2015-07-20 00:00:00,2015-11-08 11:13:33
61,62,"р. Тура, выше г. Тюмени",0,0,0,0,0,0,0,0,0,0,0,2015-07-20 00:00:00,2015-11-08 11:14:32
62,63,"р. Тура, ниже г. Тюмени",0,0,0,0,0,0,0,0,0,0,0,2015-07-20 00:00:00,2015-11-08 11:15:41
63,64,"р. Тура, в створе с. Покровское",0,0,0,0,0,0,0,0,0,0,0,2015-07-20 00:00:00,2015-11-08 11:16:35
64,65,"р. Ишим, в створе с. Ильинское",0,0,0,0,0,0,0,0,0,0,0,2015-07-20 00:00:00,2015-11-08 11:18:21
65,66,"р. Ишим, выше г. Ишима",0,0,0,0,0,0,0,0,0,0,0,2015-07-20 00:00:00,2015-11-08 11:18:57
